	10j	11j	12j	13j	14j	15j	16j	17j	18j	19j	1j	20j	21j	22j	23j	24j	25j	26j	27j	28j	29j	2j	30j	3j	4j	5j	6j	7j	8j	9j	C1	S1	VC1
Pseudomonas	0.026247051961555082	0.00074157488533055	0.0013531121579633157	0.0014806427731568175	0.0001981244221371021	0.0011301031219098743	0.0003994496471528117	0.000810931354660828	0.0016625103906899418	0.0	0.21725954750507814	0.0005432027232563192	0.0	0.0001678616819740534	0.00922890278600211	0.060485475527258484	0.001132150236336362	0.004540345154393775	0.09261817177253995	0.0004977525717216205	0.0	0.22162914829426728	0.004487414841104714	0.1700683577931148	0.31315823410566773	0.38079028735143383	0.24289868405920603	0.41312665937842036	0.027456647398843924	0.28681318681318674	0.0006028585543116946	0.00025366224871583486	0.005873230606790505
AKYH767_ge	0.0005832678213678899	0.2643851794885812	0.14513380775784374	0.1255497975003269	0.18547747985735138	0.18459528181946683	0.14300297368070689	0.16514617037667575	0.11316405954810012	0.05405405405405406	0.00013774579014428872	0.16198305207503425	0.0	0.00033572336394810674	0.0013287309175464687	0.00019896538002387584	0.00011321502363363618	0.0	0.0	0.0005731696280430783	0.0	2.5785822954539595e-05	0.0007852975971933257	0.000388764700165225	6.44800756566221e-05	0.00011346552066490796	6.571489592403358e-05	0.00011713259409651726	0.001445086705202312	0.0	0.007477120680560322	0.05445282939099928	0.0002969610980961494
Defluviicoccus	0.0005071894098851216	0.022686698343816123	0.028916507968327204	0.05896442102512724	0.04021925769383148	0.03874134764797318	0.05592295060139374	0.051737420427360965	0.10496486057583415	0.13513513513513514	0.00010330934260821653	0.045592815238646965	0.0	0.000191841922256061	0.0012420745533586553	0.0003695071343300551	8.491126772522713e-05	0.00011020255229111106	1.4539744391293602e-05	0.0007089203294217021	0.034482758620689655	0.0	0.0016521845551340114	0.00011338970421485728	2.1493358552207367e-05	0.0	3.285744796201679e-05	0.0	0.0	0.0	0.017173095762406738	0.21330881264929333	0.0001319827102649553
Devosiaceae_unclassified	0.04600207947658067	0.021148617100167567	0.032574922321339024	0.03144188477115367	0.027242108043851562	0.021648537929086015	0.031023922595534943	0.023963021530227415	0.03086979520894728	0.035343035343035345	0.02079961431178764	0.027993047005142283	0.0	0.025634876861466035	0.028943225638729825	0.02640554829174006	0.028586793467493144	0.020629917788895964	0.022492984573331112	0.03172041388880521	0.034482758620689655	0.01266083907067897	0.030147268796149235	0.031068778954870827	0.010682199200447082	0.019402604033699238	0.01437513348338231	0.0209667343432766	0.03323699421965318	0.03131868131868133	0.017315437365508113	0.003318747754032175	0.022305078034777544
Rhodanobacter	0.0022316334034945345	0.06432475486830151	0.05853462964819076	0.07599181291643094	0.042761854444591074	0.04022460799547968	0.04149838000976433	0.057657219316384935	0.0494218997959646	0.035343035343035345	0.000585419608113227	0.07387557036285934	0.0	0.025514975660056068	0.022891722872947374	0.017281564436359496	0.02575641787665224	0.02089440391439465	0.024746644953981687	0.013921988596941076	0.0	0.0015987210231814548	0.013054297719577359	0.001830433796611267	0.0016334952499677594	0.00039712932232717783	0.0006900064072023526	0.001913165703576449	0.004335260115606936	0.001098901098901099	0.025186090713466343	0.03931764855095444	0.0014188141353482697
Rhizobiaceae_unclassified	0.02241777191692247	0.014694169024142403	0.025057632554876256	0.02717414971911342	0.021397437590807058	0.02051843480717613	0.02449957835870567	0.025422697968616906	0.03094536386306955	0.02286902286902287	0.023347911429456986	0.023647425219091713	0.07692307692307693	0.021342413850986647	0.027368968355984635	0.01588880677619235	0.019472984064985436	0.016243856207709743	0.019992148538028585	0.014872243506591382	0.017241379310344827	0.015677780356360093	0.01898992371394786	0.023455470243301836	0.014701457249709877	0.015317845289762554	0.014062987727743123	0.018702170857410598	0.041907514450867045	0.017032967032967035	0.022757910425266464	0.009660303971928061	0.015046028970204876
Enterobacteriaceae_unclassified	0.0022062739330002785	0.0008239720948117223	0.0	0.0010016112877237295	3.302073702285035e-05	0.0	8.876658825618038e-05	0.0003243725418643312	0.001775863371873347	0.002079002079002079	0.00013774579014428872	3.621351488375462e-05	0.0	0.15575166063163776	0.002339721833070957	0.008157580580978905	0.014972686875548388	0.14246985960195	0.11237768440030797	0.09728800265467964	0.034482758620689655	0.00010314329181815838	0.011238934442948625	0.001312080863057634	0.08672570175815716	0.00017019828099736195	0.05866697333618082	0.003240668436670311	0.0	0.0	0.0	0.0	3.2995677566238825e-05
Sphingomonadaceae_unclassified	0.014733852357162744	0.019006289653657093	0.024255788313120228	0.029003179027130722	0.024270241711795044	0.020589066252295497	0.02303492965247869	0.017881036370271188	0.02750699010050625	0.031185031185031187	0.005888632528668338	0.024516549576301828	0.0	0.04143785520730952	0.03843209751729554	0.03564322664999185	0.04092723104355898	0.042846752330784645	0.04577111534379184	0.03086065944674065	0.0	0.005079807122044305	0.03896911842695756	0.0066089999028088086	0.003804324463740707	0.005332879471250662	0.002907884144638491	0.007379353428080593	0.0072254335260115606	0.006043956043956043	0.04232569433396685	0.007419620774938157	0.008116936681294734
Streptomyces	0.002155554992011767	0.03424977340767393	0.09441715946677358	0.024778992291947917	0.03866728305375775	0.052020059330413905	0.07438640095867917	0.03345091837975915	0.0068767475251265775	0.008316008316008316	0.000585419608113227	0.04657058014050843	0.0	0.051173832761804275	0.008665636418781321	0.022340969814109487	0.03744586906682517	0.03369994049062178	0.023568925658286922	0.015234245376934448	0.0	0.0009282896263634254	0.011667278586872271	0.00699776460297405	0.0026221897433692984	0.0007658922644881287	0.003581461827859831	0.0021864750898016555	0.0	0.0016483516483516484	0.009972285252572615	0.017375864037034686	0.002738641237997822
Micropepsaceae_genus	0.0048436588644029145	0.018621769342744954	0.02200060138318134	0.026128990114532135	0.03143574164575355	0.021471959316287592	0.024188895299809058	0.025301058265417762	0.025051008841532506	0.010395010395010396	0.0010330934260821653	0.02013471427536752	0.0	0.03421980288242499	0.038330998425742994	0.04505144676254934	0.03523817610596895	0.03892354146922077	0.026825828401936577	0.04807083169929732	0.034482758620689655	0.0010056470952270443	0.04516990984375678	0.0021544043800822885	0.0014615483815500997	0.0009928233058179446	0.0010842957827465536	0.0012103701389973454	0.008670520231213872	0.001098901098901099	0.034714605085781725	0.007609867461475037	0.009601742171775486
