	Alphaproteobacteria	Gammaproteobacteria	Bacteroidia	Actinobacteria	Acidobacteriae	Verrucomicrobiae	Bacilli	Bacteria_unclassified	Planctomycetes	Saccharimonadia	Vicinamibacteria	Anaerolineae	Polyangia	Phycisphaerae	Acidimicrobiia	Gemmatimonadetes	Babeliae	Thermoleophilia	Blastocatellia	Parcubacteria	Bdellovibrionia	KD4-96	Chloroflexia	Myxococcia	Fimbriimonadia	Abditibacteria	Clostridia	Proteobacteria_unclassified	Chlamydiae	Kapabacteria	Oligoflexia	Sericytochromatia	Dehalococcoidia	Actinobacteriota_unclassified	WPS-2_cl	Chloroflexi_unclassified	Thermoanaerobaculia	Bacteroidota_unclassified	NB1-j_cl	Longimicrobia	SJA-28	Vampirivibrionia	TK10	Limnochordia	Gitt-GS-136	JG30-KF-CM66	Fibrobacteria	Ktedonobacteria	S0134_terrestrial_group	Firmicutes_unclassified	OLB14	Sumerlaeia	Nitrospiria	Desulfobacterota_class	Subgroup_5	OM190	Rhodothermia	Cyanobacteriia	Methanosarcinia	Ignavibacteria	MBNT15_cl	AD3	Symbiobacteriia	Gracilibacteria	MB-A2-108	Cyanobacteria_unclassified	Kiritimatiellae	Desulfotomaculia	vadinHA49	Desulfuromonadia	Deinococci	BD7-11	Holophagae	Syntrophobacteria	Hydrogenedentia	ABY1	Planctomycetota_unclassified	WS2_cl	BD2-11_terrestrial_group	Berkelbacteria	Desulfobulbia	Myxococcota_unclassified	Kryptonia	RCP2-54_cl	Patescibacteria_class	Nanoarchaeia	AT-s3-28	Syntrophomonadia	Elusimicrobia	Zixibacteria_cl	Spirochaetia	Lineage_IIb	Gemmatimonadota_unclassified	Halanaerobiia	Patescibacteria_unclassified	Acidobacteriota_unclassified	Methanomicrobia	Latescibacterota_cl	Dethiobacteria	Desulfitobacteriia	FCPU426_cl	Subgroup_21	D8A-2	SAR324_clade(Marine_group_B)_cl	Subgroup_18	Incertae_Sedis	Negativicutes	Desulfobacterota_unclassified	Bathyarchaeia	Dojkabacteria	Methylomirabilia	Leptospirae	Latescibacteria	Moorellia	Chitinivibrionia	Bdellovibrionota_unclassified	Verrucomicrobiota_unclassified	Microgenomatia	Lineage_IIa	Subgroup_22	Coriobacteriia	Thermovenabulia	Lentisphaeria	Calditrichia	Thermacetogenia	Desulfovibrionia	Dadabacteriia	Pla4_lineage	Margulisbacteria_cl	N9D0	Kazania	bacteriap25	Firmicutes_class	Pla3_lineage	Syntrophia	Thermoplasmata	Nitrososphaeria	Thermaerobacteria	Omnitrophia	WS4_cl	Caldatribacteriia	Aminicenantia	Caldisericia	Methanobacteria	Thermoanaerobacteria	Endomicrobia	P2-11E	Subgroup_11	Chthonomonadetes	028H05-P-BN-P5	Entotheonellia	Desulfobacteria	Synergistia	Fusobacteriia	BRH-c20a	Leptospirillia
10j	0.31123678137600785	0.15002662744402043	0.06479344711282461	0.08071919458321762	0.015443917531001931	0.018715289224761088	0.020744046864301566	0.01194431060279453	0.0423249562549138	0.014809930768645526	0.043846524484568994	0.02710927395835983	0.018816727106738082	0.009535160905840265	0.03281515481956748	0.007734638500748109	0.0021301955215175107	0.017269799406588456	0.015266401237542132	0.0026627444018968867	0.00408287474957523	0.015063525473588092	0.0056298024497248595	0.0013694114066898288	0.0018766008165749502	0.00015215682296553648	0.005249410392311018	0.0005325488803793778	0.004818299393908662	0.00010143788197702432	0.0033728095757360557	0.0004057515279080973	0.003905358456115434	0.001217254583724292	0.0002789541754368169	0.0012426140542185482	0.0038799989856211805	0.0002789541754368169	0.0018766008165749502	0.0005832678213678897	0.0030431364593107276	0.0004818299393908656	0.0014454898181725968	0.0023584307559658137	0.0033474501052418	0.0018258818755864388	0.0012679735247128044	7.607841148276824e-05	0.0014201303476783411	0.0008622219968047063	0.0017751629345979262	0.000684705703344914	0.0005071894098851216	0.0014201303476783407	0.0013186924657013167	0.0005325488803793777	0.0011411761722415236	0.0	0.0003550325869195851	0.0007607841148276823	0.0008875814672989629	0.0	0.0005832678213678898	0.0005325488803793777	0.0011411761722415236	2.535947049425608e-05	5.071894098851216e-05	0.0005071894098851217	0.0001267973524712804	0.0003550325869195852	0.0005071894098851216	2.535947049425608e-05	0.00010143788197702432	0.0005832678213678898	0.0002535947049425608	0.00035503258691958517	0.0002282352344483047	0.0004311109984023534	0.0001267973524712804	5.071894098851216e-05	0.0	7.607841148276824e-05	0.00010143788197702432	0.0003803920574138412	0.0004564704688966094	0.0001267973524712804	0.00035503258691958517	0.0001267973524712804	0.00010143788197702432	7.607841148276824e-05	5.071894098851216e-05	0.00017751629345979256	0.0	0.00020287576395404863	0.0003803920574138412	0.0	0.0	0.00010143788197702432	0.0001267973524712804	0.00017751629345979256	2.535947049425608e-05	7.607841148276824e-05	2.535947049425608e-05	7.607841148276824e-05	0.00015215682296553648	0.0001267973524712804	0.00010143788197702432	2.535947049425608e-05	5.071894098851216e-05	5.071894098851216e-05	0.00010143788197702432	5.071894098851216e-05	2.535947049425608e-05	0.00010143788197702432	5.071894098851216e-05	0.0	0.0	2.535947049425608e-05	5.071894098851216e-05	0.00010143788197702432	2.535947049425608e-05	0.0	0.0	2.535947049425608e-05	2.535947049425608e-05	0.0	7.607841148276824e-05	0.0	0.0	0.0	5.071894098851216e-05	5.071894098851216e-05	0.0	7.607841148276824e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.071894098851216e-05	0.0	2.535947049425608e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11j	0.21989068636875925	0.16454722733390434	0.4187975500562834	0.09173555988903637	0.02735587354774924	0.018237249031832825	0.0009613007772803424	0.002059930237029304	0.006179790711087925	0.0057403389271883385	0.0009063693042928945	0.0030212310143096473	0.004229723420033512	0.008349583894092134	0.002471916284435166	0.002444450547941442	0.0009613007772803425	0.0015380812436485473	0.0012084924057238593	0.0016204784531297202	0.0017578071355983406	0.0	0.0026367107033975104	0.002334587601966546	0.0010436979867615148	0.004476915048477029	0.0001373286824686204	0.0004394517838995853	0.000686643412343102	0.00016479441896234448	0.00035705457441841305	0.0008239720948117222	8.239720948117224e-05	0.0004394517838995853	0.0002746573649372408	0.0001373286824686204	0.0	5.493147298744816e-05	0.0	0.0002471916284435167	0.0	0.00043945178389958526	2.746573649372408e-05	0.0	0.0	0.0	5.493147298744816e-05	5.493147298744816e-05	0.0	2.746573649372408e-05	8.239720948117224e-05	0.0002746573649372408	0.0	0.0	0.0	2.746573649372408e-05	0.0	2.746573649372408e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001373286824686204	5.493147298744816e-05	0.0	5.493147298744816e-05	0.0	0.0	0.0001373286824686204	5.493147298744816e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001373286824686204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.493147298744816e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12j	0.3029467775884388	0.16823694497344144	0.22992883632354663	0.22286258394307196	0.01879322441615721	0.008569710333767659	0.0013531121579633155	0.0031071464368046544	0.004309912799438713	0.002806454846146138	0.0012528816277438107	0.0034579532925729196	0.0030570311716948996	0.004059336473889949	0.002605993785707127	0.003357722762353415	0.0008018442417560388	0.001353112157963315	0.0006514984464267815	0.0006514984464267815	0.001403227423073068	0.0	0.0026059937857071274	0.001503457953292573	0.0016036884835120776	0.002806454846146137	0.00010023053021950487	0.0010023053021950483	0.0002505763255487622	0.00015034579532925728	0.00020046106043900973	0.0011025358324145535	0.0	0.0005512679162072767	0.00010023053021950487	0.00010023053021950487	0.0	0.00015034579532925728	0.0	0.0006514984464267816	0.0	0.00015034579532925728	5.011526510975243e-05	0.0	0.0	0.0	0.0	0.0002505763255487622	0.0	0.0	5.011526510975243e-05	0.00030069159065851457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010023053021950487	0.0	5.011526510975243e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.011526510975243e-05	0.00010023053021950487	0.0	0.0	0.0	0.00015034579532925728	0.0	0.0	0.0	0.00015034579532925728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.011526510975243e-05	0.0	0.0	0.0	5.011526510975243e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.011526510975243e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13j	0.3408962243609187	0.19004485476635988	0.2446108957888741	0.11370465531507308	0.029438662195706226	0.013020946740408471	0.0010016112877237295	0.0027435439620258637	0.006967730697208548	0.00352741366546183	0.001524191090014371	0.004790314854330879	0.00522579802290641	0.008753211688368241	0.00404999346775247	0.004790314854330879	0.0006532247528633019	0.0017854809911596917	0.0010016112877237295	0.001524191090014371	0.001045159604581283	0.0	0.0036580586160344895	0.0017854809911596917	0.002046770892305012	0.0037016069328920428	0.00013064495057266037	0.0006967730697208553	0.0005661281191481949	0.0005225798022906415	0.00017419326743021383	0.001611287723729478	0.00021774158428776729	0.0005661281191481949	0.00017419326743021383	4.354831685755346e-05	0.0	0.00013064495057266037	4.354831685755346e-05	0.001045159604581283	0.0	0.0003919348517179811	8.709663371510691e-05	4.354831685755346e-05	0.0	0.0003048382180028742	0.0	4.354831685755346e-05	0.0	0.0	0.0	0.00017419326743021383	4.354831685755346e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.709663371510691e-05	0.0	0.00013064495057266037	0.0	0.0	0.0	0.00013064495057266037	0.0	0.0	8.709663371510691e-05	0.0	0.0	0.0	0.0	0.0	4.354831685755346e-05	0.0	4.354831685755346e-05	4.354831685755346e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.709663371510691e-05	0.0	0.0	4.354831685755346e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14j	0.31623959846781496	0.12868181217804897	0.30897503632279266	0.13020076608109993	0.028133667943468544	0.016114119667150987	0.0011227050587769118	0.004061550653810588	0.008453308677849698	0.004887069079381855	0.002014264958393872	0.0035332188614449873	0.005613525293884562	0.009410910051512358	0.004028529916787743	0.0049861312904504055	0.0008255184255712587	0.0017170783251882196	0.0005943732664113061	0.0017170783251882185	0.001485933166028266	0.0	0.0034341566503764357	0.0034011359133535846	0.0019812442213710214	0.0016180161141196674	0.0002311451591599524	0.0005613525293884558	0.0004953110553427552	3.302073702285035e-05	0.0005283317923656056	0.001023642847708361	0.00023114515915995245	0.00026416589618280273	6.60414740457007e-05	0.00019812442213710206	0.0	0.00016510368511425173	0.0	0.0002971866332056531	0.0	0.00036322810725135385	9.906221106855105e-05	0.0	0.0	0.0001320829480914014	0.0	0.0	0.0	0.0	0.00023114515915995245	0.00036322810725135385	0.0	0.0	0.0	9.906221106855105e-05	0.0	0.0	0.0	6.60414740457007e-05	0.0	9.906221106855105e-05	0.0	0.0	0.0	3.302073702285035e-05	0.00016510368511425176	0.0	9.906221106855105e-05	0.0	0.0	0.00033020737022850346	0.0002641658961828028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001320829480914014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.906221106855105e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.302073702285035e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.60414740457007e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15j	0.27694589631302435	0.13494137590055255	0.30798841644298225	0.1563427037717211	0.033832462212177075	0.02044780336205676	0.0013066817347082917	0.0050501483260347434	0.010064980929509812	0.005226726938833166	0.001200734567029241	0.005650515609549366	0.00508546404859443	0.005756462777228415	0.0027193106370956353	0.0032843621980505723	0.001306681734708292	0.0010241559542308236	0.0006003672835146207	0.0014832603475067093	0.0015892075151857602	0.00021189433535810144	0.00324904647549089	0.000918208786551773	0.0014126289023873426	0.004873569713236328	0.00017657861279841785	0.0007063144511936716	0.0008122616188727223	0.00014126289023873428	0.0005297358383952536	0.0004237886707162028	0.00014126289023873428	0.0005297358383952536	0.0003178415030371522	0.00010594716767905072	0.0	0.00017657861279841785	0.0	0.0007063144511936715	0.0	0.0006356830060743042	7.063144511936714e-05	3.531572255968357e-05	0.0	0.00010594716767905072	7.063144511936714e-05	0.0002825257804774686	0.0	0.0	0.0	0.00010594716767905072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.063144511936714e-05	0.0	7.063144511936714e-05	0.0	0.0	0.0	0.0	0.00049442011583557	0.0	3.531572255968357e-05	0.0	0.0	0.0	0.00010594716767905072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004237886707162029	7.063144511936714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.531572255968357e-05	0.0	0.0	0.0	0.0	3.531572255968357e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.531572255968357e-05	0.0	0.0	0.0	0.0	0.0	3.531572255968357e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16j	0.3261284452532092	0.13417069814921734	0.2423327859393737	0.1908925480449168	0.02849407483023377	0.013093071767786608	0.0015090320003550667	0.0041276463539123886	0.007190093648750612	0.003417513647862945	0.0013758821179707963	0.004038879765656208	0.004970928942346101	0.008344059296080956	0.003328747059606765	0.003950113177400028	0.00031068305889663135	0.0009320491766898942	0.0009320491766898941	0.002086014824020239	0.0014646487062269765	0.00013314988238427057	0.0028849141183258627	0.0028849141183258627	0.001153965647330345	0.0027073809418135014	0.00017753317651236075	0.00039944964715281177	0.0006213661177932626	0.00022191647064045094	0.00035506635302472156	0.0014646487062269765	0.00022191647064045094	0.00013314988238427057	0.00013314988238427057	0.00022191647064045094	0.0	0.0	0.0	0.0005769828236651725	0.0	0.0006213661177932626	4.438329412809019e-05	0.0	0.0	0.00013314988238427057	0.00013314988238427057	0.00017753317651236075	0.0	0.0	4.438329412809019e-05	0.00039944964715281177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031068305889663135	0.0	0.0	0.0	0.0	0.0	4.438329412809019e-05	0.00013314988238427057	0.0	0.00013314988238427057	0.0	0.0	0.00013314988238427057	0.0	0.0	0.0	0.0	4.438329412809019e-05	0.0	0.0	0.0	0.00013314988238427057	0.0	0.0	4.438329412809019e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.438329412809019e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.438329412809019e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17j	0.3058022138426082	0.1828650204760111	0.2797713173579931	0.12163970319912502	0.028990795929124537	0.01593480111908529	0.001013664193326035	0.003689737663706766	0.0053521469407614725	0.005717066050358845	0.0017029558447877384	0.005960345456757095	0.004622308721566723	0.007825487572476997	0.0027571666058468143	0.003487004825041559	0.00040546567733041396	0.001581316141588614	0.0017840489802538211	0.0009731176255929933	0.0015813161415886142	0.0	0.0030815391477111457	0.002432794063982484	0.0011758504642582004	0.0038519239346389324	8.10931354660828e-05	0.0005271053805295382	0.00044601224506345545	0.0004460122450634554	0.00024327940639824841	0.001135303896525159	4.05465677330414e-05	0.000202732838665207	0.0001621862709321656	4.05465677330414e-05	0.0	0.0	0.0	0.00044601224506345534	0.0	0.0002432794063982484	8.10931354660828e-05	0.0	0.0	0.0	8.10931354660828e-05	0.0	0.0	0.0	4.05465677330414e-05	0.0005676519482625795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05465677330414e-05	0.00032437254186433115	0.0	8.10931354660828e-05	0.0	0.0	4.05465677330414e-05	0.00040546567733041396	0.0	0.0	8.10931354660828e-05	0.0	0.0	0.0	0.0	8.10931354660828e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05465677330414e-05	0.0	4.05465677330414e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.05465677330414e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05465677330414e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18j	0.40176074964105624	0.1730144336129402	0.20675583767853373	0.0756064384493322	0.02803597067936214	0.027884833371117634	0.0014358044283231312	0.002153706642484697	0.012090984659563252	0.0033250207813798833	0.003287236454318748	0.006158845310965011	0.014055769666742258	0.006914531852187712	0.004156275976724854	0.007254590795737927	0.00011335298118340512	0.002342628277790372	0.0014735887553842665	0.0008690395224061058	0.0018136476989344817	0.0	0.0036650797249300985	0.0004534119247336205	0.002947177510768533	0.003740648379052369	0.00015113730824454016	0.0001889216353056752	0.0003778432706113504	0.0004911962517947556	0.0006801178871004307	0.0013980201012619964	0.00011335298118340512	0.0005289805788558905	0.0003022746164890803	0.0001889216353056752	0.0	0.0002644902894279453	0.0	0.0007179022141615657	0.0	0.00011335298118340512	0.00022670596236681022	0.0	0.00011335298118340512	0.0004156275976724854	3.778432706113504e-05	0.00041562759767248546	0.0	0.0	0.00011335298118340512	0.0001889216353056752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.556865412227008e-05	0.0	0.0	0.0	0.0	0.0006045492329781607	0.0	0.0001889216353056752	0.0	0.0	0.00034005894355021535	7.556865412227008e-05	0.0	0.0	3.778432706113504e-05	0.0	0.0	0.0	0.0	0.0001889216353056752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011335298118340512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.778432706113504e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19j	0.5176715176715172	0.13305613305613306	0.0893970893970894	0.10187110187110188	0.033264033264033266	0.006237006237006237	0.002079002079002079	0.04365904365904366	0.008316008316008316	0.0	0.004158004158004158	0.0	0.012474012474012475	0.008316008316008316	0.004158004158004158	0.010395010395010396	0.0	0.004158004158004158	0.002079002079002079	0.002079002079002079	0.0	0.0	0.002079002079002079	0.0	0.002079002079002079	0.0	0.0	0.006237006237006237	0.0	0.0	0.002079002079002079	0.0	0.0	0.004158004158004158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
