	10j	11j	12j	13j	14j	15j	16j	17j	18j	19j	1j	20j	21j	22j	23j	24j	25j	26j	27j	28j	29j	2j	30j	3j	4j	5j	6j	7j	8j	9j	C1	S1	VC1
Pseudomonadaceae	0.029645221007785518	0.0007965063583179982	0.0014533426881828205	0.0015677394068719245	0.0003962488442742042	0.0012007345670292412	0.0004438329412809019	0.000810931354660828	0.001813647698934482	0.0	0.23919556458555072	0.0006518432679075832	0.0	0.0001678616819740534	0.010369878247808311	0.06645443692797534	0.0012170615040615893	0.005025236384474654	0.10233072102592342	0.0005430028055144952	0.034482758620689655	0.2464608957994876	0.004925957655121751	0.18996015161824517	0.35433950909172285	0.421155646327984	0.27224038508927456	0.4574418241449513	0.03468208092485548	0.3164835164835163	0.0006279776607413484	0.0003382163316211131	0.007819975583198581
AKYH767	0.0005832678213678899	0.2643851794885812	0.14513380775784374	0.1255497975003269	0.18547747985735138	0.18459528181946683	0.14300297368070689	0.16514617037667575	0.11316405954810012	0.05405405405405406	0.00013774579014428872	0.16198305207503425	0.0	0.00033572336394810674	0.0013287309175464687	0.00019896538002387584	0.00011321502363363618	0.0	0.0	0.0005731696280430783	0.0	2.5785822954539595e-05	0.0007852975971933257	0.000388764700165225	6.44800756566221e-05	0.00011346552066490796	6.571489592403358e-05	0.00011713259409651726	0.001445086705202312	0.0	0.007477120680560322	0.05445282939099928	0.0002969610980961494
Xanthobacteraceae	0.04209672102046524	0.03732593589497107	0.05272125889545943	0.04363541349126848	0.04461101571787053	0.0476409097330134	0.04704629177577566	0.046182540647934194	0.05078213557016542	0.062370062370062374	0.016322876132098263	0.04834504236981233	0.07692307692307693	0.05364379751085129	0.06240702494259061	0.05269740208060976	0.06161727661260596	0.053778845518062696	0.04908617706500692	0.06856918760746751	0.08620689655172414	0.009643897784997833	0.06681148778199111	0.02298571289726884	0.00943558440441905	0.012679771934303441	0.0120422546780791	0.012689364360456042	0.050578034682080907	0.014285714285714284	0.04513903425408811	0.022956433508783083	0.031345893687926965
Rhodanobacteraceae	0.011969670073288854	0.08442967398170602	0.08700010023053098	0.09676436005748469	0.05920618148197008	0.05484531713518908	0.05916293107274441	0.08117422860154944	0.06884304390538894	0.06444906444906445	0.0031337167257825672	0.09846454696892852	0.0	0.03973525814728689	0.039775271162206666	0.03587061565573328	0.03990829583085634	0.0357056269423204	0.03650929816653796	0.029578569489275817	0.0	0.004718805600680753	0.02798515073634423	0.006398419023552648	0.005373339638051837	0.0031486681984511924	0.0019221607057779814	0.011478994221458696	0.011560693641618497	0.00989010989010989	0.039537473520275285	0.04906250660578789	0.00683010525621143
Streptomycetaceae	0.0030684959298049857	0.05111373561482054	0.14974441214794101	0.044201541610416686	0.06627261920486097	0.09054951264302911	0.11548533132129088	0.05311600373028435	0.009899493690017388	0.014553014553014554	0.0007231653982575158	0.07847468675309616	0.0	0.0836670583439249	0.014153872817342823	0.039054061736115225	0.05898502731312415	0.05576249145930255	0.04319758058653313	0.023831789797580664	0.0	0.002140223305226786	0.019153102435442507	0.009249360158097637	0.0036323775953230456	0.0013332198678126686	0.0046000427146823545	0.0030454474465094502	0.0	0.0016483516483516484	0.016386030427610918	0.02915002008159473	0.004520407826574717
Sphingomonadaceae	0.02315319656125589	0.026669230135406116	0.033577227623534024	0.0400209031920915	0.03510104345528964	0.028817629608701767	0.03404198659624523	0.029761180716052296	0.03717977782815677	0.04158004158004158	0.01029649781328561	0.03523574998189317	0.0	0.07218052324884341	0.05134389578127979	0.06256040020465063	0.05864538224222296	0.07793524498027285	0.06785698707416675	0.045657485897010734	0.034482758620689655	0.008767179804543479	0.04967772202504843	0.010950205721320477	0.006233073980140126	0.008878676992029036	0.004846473574397481	0.012611275964391702	0.011560693641618497	0.012087912087912087	0.08242416123117509	0.014712410425518449	0.014617085161843775
Chitinophagaceae	0.015798950117921526	0.0753385152022835	0.037085296181216594	0.05369507468536319	0.05108308017434894	0.0528323209492872	0.038480316009054265	0.04326318777115536	0.04390538804503881	0.006237006237006237	0.004924411997658318	0.03885710147026856	0.0	0.03661782691062583	0.05294703851875448	0.0322892388153033	0.04121026860264306	0.040245972096714266	0.03290344155749721	0.028326646354339645	0.05172413793103448	0.004744591423635296	0.02518051646065382	0.0089253895746266	0.002987576838756826	0.0066377329588971	0.002185020289474118	0.0076526628143058	0.015895953757225433	0.005494505494505494	0.12798184725909012	0.034476927304627335	0.01570594252152964
Defluviicoccaceae	0.0005071894098851216	0.022686698343816123	0.028916507968327204	0.05896442102512724	0.04021925769383148	0.03874134764797318	0.05592295060139374	0.051737420427360965	0.10496486057583415	0.13513513513513514	0.00010330934260821653	0.045592815238646965	0.0	0.000191841922256061	0.0012420745533586553	0.0003695071343300551	8.491126772522713e-05	0.00011020255229111106	1.4539744391293602e-05	0.0007089203294217021	0.034482758620689655	0.0	0.0016521845551340114	0.00011338970421485728	2.1493358552207367e-05	0.0	3.285744796201679e-05	0.0	0.0	0.0	0.017173095762406738	0.21330881264929333	0.0001319827102649553
Devosiaceae	0.04714325564882223	0.02274162981680357	0.03653402826500943	0.03466446021861244	0.02952053889842824	0.02376748128266703	0.032799254360658656	0.02745002635526896	0.03536613012922234	0.035343035343035345	0.021350597472364802	0.030781487651191385	0.0	0.026090501426824154	0.02917430927656402	0.026860326303223197	0.028869831026577236	0.02109276850851862	0.022609302528461453	0.03206733234788394	0.034482758620689655	0.013073412237951606	0.03046342756904528	0.031813911296854284	0.011069079654386816	0.019941565256857547	0.014835137754850533	0.02147430891769484	0.03323699421965318	0.03131868131868133	0.017859684671483946	0.0055594309510220395	0.02283300887583738
Rhizobiaceae	0.024573326908934243	0.015792798483891368	0.0268116668337176	0.028916082393415567	0.023378681812178084	0.02178980081932474	0.026274910123829265	0.027206746948870725	0.03321242348673765	0.02494802494802495	0.02682599263060028	0.024951111754906868	0.07692307692307693	0.02836862425361487	0.043674807550658216	0.02194303905406169	0.02419971130168974	0.01990258094377462	0.02566264885063308	0.018492262210021506	0.017241379310344827	0.018668935819086595	0.02282462366907374	0.02802345547024322	0.017302153634526862	0.017558789322894487	0.017332303799963922	0.022372325472434805	0.04768786127167629	0.024725274725274735	0.026860697808776608	0.010231044031538697	0.01692678259148055
