	10j	11j	12j	13j	14j	15j	16j	17j	18j	19j	1j	20j	21j	22j	23j	24j	25j	26j	27j	28j	29j	2j	30j	3j	4j	5j	6j	7j	8j	9j	C1	S1	VC1
Rhizobiales	0.21875079248345458	0.09569062594413245	0.14824095419464972	0.13552236206070462	0.12326641130630148	0.11703630456279271	0.133549332031424	0.12451850950817112	0.15223305372931534	0.2079002079002079	0.10516891077516549	0.13529369160570665	0.23076923076923078	0.12894175199635383	0.16113750920724532	0.12972542777556856	0.14214146217202547	0.11639593572986993	0.11546011021126146	0.14725934417328457	0.1724137931034483	0.06675949562930232	0.15188879370129366	0.13874040237147342	0.06200833942311767	0.08186537315973393	0.07493141007738131	0.08976261127596492	0.23554913294797733	0.12197802197802182	0.10314742403564171	0.056017079924747096	0.14940442801992554
Pseudomonadales	0.031952932822762826	0.0013732868246862033	0.002305302195048612	0.0020032225754474586	0.0009906221106855103	0.0018011018505438615	0.0015090320003550667	0.001135303896525159	0.001851432025995617	0.002079002079002079	0.2860291332346293	0.0007604838125588471	0.0	0.0013908539363564425	0.01088981643293519	0.07120118242283073	0.0017548328663213612	0.006656234158383095	0.10251973770301022	0.0007390871519502852	0.034482758620689655	0.3124983883860631	0.005935625994370312	0.20220623967345044	0.47248850105321494	0.46140753978386106	0.5180469532931131	0.4695064813368931	0.04046242774566473	0.41483516483516464	0.001180598002193735	0.0036146870442006485	0.00841389777939088
Sphingobacteriales	0.005579083508736344	0.31928918673952844	0.17364939360529358	0.16465618603840754	0.2347113987584225	0.22817488345811734	0.17930850827748504	0.1988809147305644	0.1413133832086466	0.07692307692307693	0.010571989393574198	0.19160570724994527	0.0	0.027073691278386425	0.07365790955963913	0.034932636007049385	0.03965356202768056	0.025985761830243922	0.045204065312531405	0.03541584964855676	0.017241379310344827	0.017405430494314145	0.029402765879329676	0.005847669031651912	0.004148218200576021	0.009020508892860168	0.0013964415383857127	0.0071841324379197284	0.011560693641618497	0.013186813186813183	0.07406787182557738	0.06451476525672681	0.013429240769459165
Xanthomonadales	0.030355286181624645	0.11431239528687713	0.13200360829908897	0.14998040325741163	0.09467045304451283	0.08775957056081454	0.08801207225600328	0.11823379150954949	0.11051915665382166	0.08523908523908524	0.0185268087744069	0.14463677844571557	0.0	0.07194072084602346	0.0768208668524945	0.0717696549371844	0.07387280292094824	0.06213219898172911	0.07162278087151175	0.06040906211348792	0.0	0.026146824475903	0.05950923999510531	0.023860433472640614	0.015539698233245957	0.020934388562675477	0.007261495999605723	0.04271435264719619	0.03468208092485549	0.04780219780219779	0.08090864180991983	0.060350476673642565	0.011383508760352375
Micrococcales	0.06045697765830671	0.024499436952401917	0.03573218402325334	0.04263380220354472	0.040318319904900014	0.035668879785280695	0.04598109271670158	0.04885861411831506	0.044849996221567205	0.05405405405405406	0.07248872206343253	0.05529803722749318	0.0	0.0315819764514039	0.021201923771285134	0.04161218805070815	0.13928278282527792	0.042427982632078254	0.030097270889977577	0.02823614588675388	0.034482758620689655	0.11621670405610923	0.030504222249418952	0.05970777853371006	0.06422215535399586	0.0611579156383853	0.051290476268707696	0.03595970638763051	0.08815028901734102	0.04450549450549451	0.04214986058895928	0.12196926459086135	0.018444583759527563
Chitinophagales	0.020110060101945135	0.08574802933340467	0.047108349203167	0.059051517658842256	0.05824858010830742	0.06141404153129041	0.04957613954107684	0.05526497182013565	0.05267135192322212	0.008316008316008316	0.00592306897620441	0.04595495038748446	0.0	0.03664180715090784	0.05333699215759966	0.0325166278210449	0.04132348362627669	0.04029005311763072	0.03296160053506238	0.028477480466982567	0.05172413793103448	0.00513137876795339	0.02561905927467088	0.01093400719214691	0.0032454971413833147	0.007630556264715044	0.0026943107328853797	0.008394502576917076	0.015895953757225433	0.00879120879120879	0.13116360074017455	0.09180459551440376	0.01900551027815365
Flavobacteriales	0.01721908046559994	0.010409514131121438	0.006114062343389799	0.01759352001045164	0.012019548276317538	0.013455290295239435	0.009631174825795572	0.016705185906013026	0.009143807148794694	0.002079002079002079	0.25896208547126387	0.024914898240023138	0.0	0.0008393084098702669	0.03379598203324745	0.01694048092774712	0.0006509863858934079	0.002402415639946221	0.012067987844773734	0.003288183655615556	0.0	0.22727624352131023	0.004579202871945481	0.06547445491949361	0.04279327687744461	0.1232235554420933	0.01920517833379894	0.05337341870997911	0.06358381502890172	0.06868131868131866	0.011789233950984242	0.011964402731096906	0.015573959811264684
Caulobacterales	0.030963913473486773	0.035787854651322525	0.044752931743008796	0.05177894874363091	0.05857878747853619	0.04262607712953832	0.04970928942346108	0.0454121558610065	0.0467769969016851	0.058212058212058215	0.01983539378077763	0.04034185558050257	0.07692307692307693	0.036402004748087746	0.0378255029679808	0.03945199249616312	0.03857801930316114	0.036499085318816356	0.05469851840004623	0.03574768469637112	0.0	0.018075861891132174	0.03410435279239618	0.01815855120355067	0.010983106220177988	0.01409809094261479	0.007540784307282864	0.02042011557082619	0.0245664739884393	0.02417582417582418	0.04707320544917145	0.018157989303908554	0.0282442999967005
Streptomycetales	0.0030684959298049857	0.05111373561482054	0.14974441214794101	0.044201541610416686	0.06627261920486097	0.09054951264302911	0.11548533132129088	0.05311600373028435	0.009899493690017388	0.014553014553014554	0.0007231653982575158	0.07847468675309616	0.0	0.0836670583439249	0.014153872817342823	0.039054061736115225	0.05898502731312415	0.05576249145930255	0.04319758058653313	0.023831789797580664	0.0	0.002140223305226786	0.019153102435442507	0.009249360158097637	0.0036323775953230456	0.0013332198678126686	0.0046000427146823545	0.0030454474465094502	0.0	0.0016483516483516484	0.016386030427610918	0.02915002008159473	0.004520407826574717
Burkholderiales	0.02705855501737139	0.04454942459282056	0.030019043800741763	0.032704785960022666	0.029718663320565362	0.04093092244667364	0.041675913186276774	0.059400721728905884	0.0550139802010125	0.02494802494802495	0.024071076827714574	0.026146157746070757	0.0	0.032373324380710215	0.05180606305694825	0.04104371553635431	0.04101214231128419	0.025192303453747903	0.033572269799496714	0.03712027512142174	0.017241379310344827	0.02341352724272176	0.03820421816995109	0.03356335244759811	0.017065726690452587	0.019147306612203176	0.014621564343097384	0.034749336248633175	0.03612716763005779	0.013186813186813183	0.04050874563555521	0.0653814446065057	0.03830798165440356
Sphingomonadales	0.02315319656125589	0.026669230135406116	0.033577227623534024	0.0400209031920915	0.03510104345528964	0.028817629608701767	0.03404198659624523	0.029761180716052296	0.03717977782815677	0.04158004158004158	0.01029649781328561	0.03523574998189317	0.0	0.07218052324884341	0.05134389578127979	0.06256040020465063	0.05864538224222296	0.07793524498027285	0.06785698707416675	0.045657485897010734	0.034482758620689655	0.008767179804543479	0.04967772202504843	0.010950205721320477	0.006233073980140126	0.008878676992029036	0.004846473574397481	0.012611275964391702	0.011560693641618497	0.012087912087912087	0.08242416123117509	0.014712410425518449	0.014617085161843775
Enterobacterales	0.002738822813379655	0.0009338350407866185	0.00035080685576826707	0.001045159604581283	9.906221106855105e-05	0.0	8.876658825618038e-05	0.0004460122450634554	0.001813647698934482	0.002079002079002079	0.0001721822376803609	0.00010864054465126386	0.07692307692307693	0.16613510467374282	0.003755109114805238	0.008726053095332826	0.01579349579689225	0.15234400828723696	0.1209852130799532	0.10327611692660135	0.034482758620689655	0.00012892911477269798	0.1307163545873573	0.0015388602714873475	0.09932080986975309	0.00019856466116358894	0.0658791831638442	0.0038653756051850708	0.0	0.0	0.0	0.0	3.2995677566238825e-05
Defluviicoccales	0.000659346232850658	0.022741629816803572	0.028916507968327204	0.05896442102512724	0.04021925769383148	0.03874134764797318	0.05592295060139374	0.051737420427360965	0.10496486057583415	0.13513513513513514	0.0001721822376803609	0.04577388281306574	0.0	0.0002637826431020839	0.0014442727364635528	0.00042635438576544817	0.00016982253545045427	0.00013224306274933328	2.9079488782587203e-05	0.0007089203294217021	0.034482758620689655	0.0	0.0016623832252274312	0.00011338970421485728	2.1493358552207367e-05	5.673276033245398e-05	6.571489592403358e-05	0.0	0.0	0.0	0.01718984183335984	0.21330881264929333	0.0002309697429636718
Micropepsales	0.005122613039839732	0.02158806888406717	0.02570913100130304	0.02904672734398825	0.034803856822084	0.02475632151433815	0.026674359770982068	0.02838259741312887	0.028073755006423288	0.010395010395010396	0.0010330934260821653	0.02201781704932274	0.0	0.03798470060670026	0.04243273299729961	0.05053720652606495	0.039087486909512456	0.043221441008574286	0.02932666443723902	0.05347069293191379	0.05172413793103448	0.001083004564090663	0.04915758985028409	0.002348786730164902	0.001612001891415551	0.0011346552066490796	0.0011335819546895787	0.001249414337029518	0.008670520231213872	0.001098901098901099	0.03866667783071394	0.008180607521085676	0.01042663411093145
Bacteria_unclassified	0.01194431060279453	0.002059930237029304	0.0031071464368046544	0.0027435439620258637	0.004061550653810588	0.0050501483260347434	0.0041276463539123886	0.003689737663706766	0.002153706642484697	0.04365904365904366	0.007438272667791579	0.00416455421163179	0.07692307692307693	0.003381213879763079	0.003668452750617416	0.004462509237678361	0.005038068551696821	0.0041436159661457726	0.003489538653910451	0.003831186461130062	0.08620689655172414	0.009231324617725243	0.004059070697181095	0.012683448342890341	0.01117654644714789	0.010665758942501297	0.006850777900080531	0.011088552241136983	0.03323699421965317	0.01538461538461538	0.002160243152950233	0.004058595979453369	0.03659220642095936
Acidobacteriales	0.001825881875586438	0.014062457084786751	0.009822591961511458	0.014675782780995504	0.01466120723814558	0.019176437349908152	0.014380187297501224	0.015367149170822703	0.011864278697196444	0.008316008316008316	0.0002066186852164331	0.01129861664373142	0.0	0.024148101963981546	0.021447450136484005	0.026860326303223183	0.022954346041719757	0.02728615194727903	0.017273216336856707	0.03316842137017719	0.034482758620689655	0.00025785822954539595	0.02010157875413064	0.000388764700165225	0.0001289601513132442	0.00011346552066490796	0.0003614319275821848	0.00023426518819303455	0.0	0.001098901098901099	0.04365700697473852	0.005474876868116761	0.003596528854720033
Bacillales	0.01496208759161106	0.0	0.00015034579532925728	0.00017419326743021383	0.0001320829480914014	7.063144511936714e-05	0.00022191647064045094	0.0001216397031991242	0.0	0.002079002079002079	0.006164124108956916	0.00014485405953501847	0.0	0.0001678616819740534	0.0012854027354525619	0.0029276334489227425	2.8303755908409045e-05	0.001146106543827555	0.0004071128429562209	3.0166822528583065e-05	0.0	0.021582733812949517	0.0032125810794272464	0.09851945443353544	0.03765636418346702	0.024962414546279704	0.062248435164039995	0.04189442448852059	0.056358381502890166	0.033516483516483515	0.00025956409977309083	0.00010569260363159786	0.006797109578645184
Bryobacterales	0.007455684325311289	0.006234722184075368	0.003357722762353413	0.006924182380350999	0.005844670453044513	0.006886565899138295	0.006124894589676447	0.005798159185824922	0.005667649059170256	0.010395010395010396	0.0035125176486793617	0.0043818353009343084	0.07692307692307693	0.018392844296299816	0.02344054651280352	0.03095332840657153	0.024822393931674736	0.028498380022481312	0.014612443113250089	0.0271048900419319	0.0	0.00126350532477244	0.018989923713947723	0.0034502867139663716	0.001375574947341271	0.0012764871074802146	0.0013307266424616795	0.001483679525222552	0.001445086705202312	0.0016483516483516484	0.01709773844311778	0.005242353140127254	0.020490315768634335
Saccharimonadales	0.014809930768645526	0.0057403389271883385	0.002806454846146138	0.00352741366546183	0.004887069079381855	0.005226726938833166	0.003417513647862945	0.005717066050358845	0.0033250207813798833	0.0	0.0096766417576363	0.0033316433693054257	0.07692307692307693	0.011078871010287528	0.015034879186585576	0.012705360695810344	0.012736690158784083	0.014348372308302632	0.011268301903252571	0.01675766991462795	0.0	0.0033521569840901455	0.014023171378452201	0.008164058703469711	0.0027511498946825455	0.007205060562221645	0.004172895891176138	0.005427143526471969	0.011560693641618497	0.007692307692307691	0.05589001180597998	0.014564440780434213	0.009799716237172906
Alphaproteobacteria_unclassified	0.01108208860598983	0.0031036282237908177	0.007216598175804362	0.0070548273309236405	0.007330603619072809	0.00836982624664497	0.007145710354622523	0.008149860114341363	0.007519081085165871	0.04158004158004158	0.005819759633596191	0.009162019265589906	0.0	0.006426704395578051	0.006788081861378688	0.007816497072366597	0.008264696725255457	0.006523991095633725	0.005757738778952228	0.008265709372831768	0.05172413793103448	0.005234522059771553	0.007649002570064755	0.008034470470081252	0.004363151786098097	0.006581000198564639	0.0033843171400877435	0.005934718100890215	0.0245664739884393	0.010439560439560439	0.0036841356096825664	0.006848880715327507	0.027485399412677247
Pedosphaerales	0.004666142570943126	0.010464445604108887	0.0035080685576826718	0.006575795845490568	0.00785893541143839	0.011265715496539054	0.005281612001242733	0.007298382191947461	0.012846671200785944	0.0	0.0005509831605771549	0.004997465053958139	0.07692307692307693	0.008944629625188846	0.03401262294371694	0.011653686544255575	0.014038662930570892	0.010248837363073308	0.006063073411169425	0.02556638209297426	0.0	0.00012892911477269798	0.02565985395504447	0.001117698512975021	0.0003653870953875253	0.0003687629421609509	0.00026285958369613434	0.0006247071685147586	0.0	0.0005494505494505495	0.009419664911120222	0.0015642505337476495	0.014386115418880099
